EVENT CATEGORY	EVENT GROUP	EVENT SUBGROUP	EVENT TYPE	PLACE	EVENT START DATE	COMMENTS	FATALITIES	INJURED / INFECTED	EVACUATED	ESTIMATED TOTAL COST	NORMALIZED TOTAL COST	EVENT END DATE	FEDERAL DFAA PAYMENTS	PROVINCIAL DFAA PAYMENTS	PROVINCIAL DEPARTMENT PAYMENTS	MUNICIPAL COSTS	OGD COSTS	INSURANCE PAYMENTS	NGO PAYMENTS	UTILITY - PEOPLE AFFECTED	MAGNITUDE
Incident	Technology	Hazardous Chemicals	Leak / Spill Release	North Saskatchewan River SK	21/07/2016 12:00:00 AM	North Saskatchewan River SK, July 21, 2016. A pipeline from Husky Energy Inc. ruptured spilling up to 250,000 litres of oil mixed with diluent into the North Saskatchewan River. Signs of the leak were first detected on July 20, however after an initial inspection crews reported that no leak was found. The next day the pipeline was shut off as a precaution, after a few hours oil was spotted in the river and an emergency response team was dispatched. The leak that spread hundreds of kilometres downstream contaminated the waterways of the North Saskatchewan River, which is the primary water source for many communities. On July 23 and 25, the contaminated water reached North Battleford and Prince Albert, where a state of emergency was declared, causing both communities to shut off their water supply intake. In addition, the city of Melfort and the town of Star City were put on a boil-water advisory. Multiple First Nation communities were affected including Muskaday First Nation, which declared a state of local emergency on July 27. As of July 29, oil ceased to be released from the source site and the spill was 40-50 per cent recovered. The spill caused severe environmental damages and clean-up efforts ran the risk of disrupting approximately 3000 archaeological sites located along the waterways.				0	0	21/07/2016 12:00:00 AM									
Disaster	Natural	Meteorological - Hydrological	Tornado	Long Plain First Nation MB	20/07/2016 12:00:00 AM	Long Plain First Nation MB, July 20, 2016. An EF1 tornado touch downed in the community of Long Plain First Nation leaving a trail of destruction. The tornado that resulted from the upper-level low system that swept across the prairies uprooted trees and caused extensive property damage. In total, the tornado severely damaged 57 homes, while another 150 homes sustained moderate damages. In addition, the tornado caused damages to the Dakota Ojibway Police Service’s communications equipment. Approximately 600 residents were displaced from their homes and relocated to Winnipeg where they stayed in emergency accommodations. The storm system that accompanied the tornado downed hydro lines and poles, resulting in power outages. Over 18,000 Hydro customers (approximately 54,000 individuals) in Manitoba were without power. In Long Plain and surrounding areas, roughly 6,500 Hydro customers (approximately 19,500 individuals) lost power.			600	0	0	20/07/2016 12:00:00 AM								54000	
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Prairie Provinces	18/07/2016 12:00:00 AM	Prairie Provinces, July 18-20, 2016. Southern regions of the Prairie provinces were overwhelmed by severe storms after weeks of bad weather. A storm system entered northward into southern Alberta where isolated thunderstorms developed along the Alberta foothills. On June 18, the storm eventually grew larger impacting Calgary, Medicine Hat and Dunmore with hail, heavy rain and strong winds as well as tornado warnings. On June 19, the storm system moved across Saskatchewan and Manitoba producing hail and prompting even more tornado warnings. In Saskatchewan, near softball sized hail pelted Stewart Valley and Davison, where a tornado briefly touched down resulting in minimal damages. Parts of southern Manitoba received less severe hail, however a more severe tornado touched down in Long Plain First Nation where there was extensive damages.				0	0	20/07/2016 12:00:00 AM									
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Alberta and Saskatchewan	15/07/2016 12:00:00 AM	Alberta and Saskatchewan, July 15-16, 2016. A storm system caused hail, heavy rain and flash flooding in parts of southern Alberta and southern Saskatchewan. On July 15, Lethbridge, Alberta was impacted by hail, while Calgary and Arbour Lake experienced localized flooding. On July 16, a torrential down pour consisting of 60 mm of rain in less than one hour hit the town of Swift Current, Saskatchewan, which caused flash flooding. In Alberta the hail damaged the roofs of homes, broke windows and dented vehicles. In Swift Current, flash flooding overwhelmed the city’s storm water system, which resulted in flooded basements and submerged vehicles.				0	0	16/07/2016 12:00:00 AM									
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Prairie Provinces	08/07/2016 12:00:00 AM	Prairie Provinces, July 8-11, 2016. Severe storms swept through the Prairies from July 8 to 11. On July 8, storms in Alberta impacted Edmonton, Calgary and Redwater where hail and heavy rain resulted in flash flooding. On July 10, the bad weather continued into Saskatchewan where 130 mm of rain fell causing significant flooding in Estevan prompting the declaration of a local state of emergency. There were also reports of numerous funnel clouds in Saskatchewan, including in Battleford and in Humboldt, where a small tornado briefly touched down for roughly 20 seconds. On July 11, the tail end of the storm system moved into Manitoba where some communities received up to 88.9 mm of rain, including Liyodminster, Yorktown, Humboldt and Watrous. The severe thunderstorms that swept through the Prairies resulted in property damage from hail and infrastructure damage from heavy rain, strong winds and lighting, including in Manitoba where wind gusts of over 100 km/h caused power outages due to fallen trees.				0	0	11/07/2016 12:00:00 AM									
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Southern Ontario	08/07/2016 12:00:00 AM	Southern Ontario, July 8, 2016. A cold front produced severe thunderstorms across southern Ontario. Multiple severe storms caused hail to fall in Markdale and Flesherton before moving east into Midland and Bradford. Heavy rain, strong winds and lighting were experienced in London, Whitby and Ajax, where it rained over 35 mm. Strong wind gusts of over 100 km/h were reported in areas north of the Greater Toronto Area (GTA). The strong winds downed trees and power lines resulting in power outages that affected over 39,000 Hydro One customers (approximately 117,000 individuals). Additionally, hail caused significant crop damage to over 2000 acres of crop land in the Holland Marsh area.				0	0	08/07/2016 12:00:00 AM								117000	
Disaster	Natural	Meteorological - Hydrological	Wildfire	Burns Bog BC	03/07/2016 12:00:00 AM	Burns Bog BC, July 3-6, 2016. A wildfire 78 hectares in size burned in the Burns Bog Delta Nature Reserve, located near Surrey British Columbia. The fire prompted a local state of emergency due to its proximity to suburban residential streets and an industrial complex. Delta’s Tilbury Industrial Park, which is comprised of 25 commercial businesses, was evacuated on July 3 and workers were unable to return until July 6. A section of Highway 17, from Highway 99 to the Highway 91 connector, temporarily closed as the fire burned dangerously close to the road. Burns Bog is the largest raised peat bog and the largest undeveloped urban land mass in the North American west coast. Officials predict that it could take up to a century for the bog to be completely restored.				0	0	06/07/2016 12:00:00 AM									
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Prairie Provinces	28/06/2016 12:00:00 AM	Prairie Provinces, June 28-30, 2016. Multiple thunderstorms hit Alberta, Saskatchewan and Manitoba as a warm front moved into the prairies. On June 28, severe thunderstorms formed in Alberta, where Okotoks received 30 cm of hail, Edmonton received up to 75 mm of rain and Calgary was hit by strong winds and lighting that caused trees and two houses to catch fire. On June 29, the storm began to move into southern Saskatchewan and southern Manitoba where hail and heavy rain accompanied by strong winds caused localized flooding. Alberta experienced more bad weather on June 30, where Calgary was impacted by hail, Taber and Strathmore experienced flooding and an EF0 tornado touched down in Ponoka.				0	0	30/06/2016 12:00:00 AM									
Disaster	Natural	Meteorological - Hydrological	Flood	Kenora ON	27/06/2016 12:00:00 AM	Kenora ON, June 27-28, 2016. Two states of emergency were declared in Kenora due to flooding that resulted in over 20 roads experiencing moderate to extensive damages. On June 27, the first state of emergency was declared after Kenora received more than 109 mm of rain over a two-day period. The main road into the city, Veterans Drive, was completely washed out and subsequently closed. A second state of emergency was declared on June 28.				0	0	28/06/2016 12:00:00 AM									
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Alberta, Saskatchewan, Manitoba and Ontario	24/06/2016 12:00:00 AM	Alberta, Saskatchewan, Manitoba and Ontario, June 24-25, 2016. A large storm system caused bad weather throughout the Prairies and parts of northern Ontario. On June 24, widespread and severe thunderstorms caused heavy rain, strong winds, hail and lighting in southern Saskatchewan, while southern Manitoba experienced hail, wind gusts of up to 124 km/h and up to 138 mm of rain. In parts of southern Saskatchewan and Manitoba powerful winds uprooted trees and downed power lines, while flooding caused damages to roads, homes and businesses. In Manitoba, a voluntary evacuation was issued for the communities of Caddy Lake and Whiteshell due to flooding. On June 25, the storm system moved into northern Ontario where it caused significant flooding in Thunder Bay, which received 50 mm of rain in three hours.				0	0	25/06/2016 12:00:00 AM									
Disaster	Natural	Meteorological - Hydrological	Wildfire	Easterville and Chemawawin MB	23/06/2016 12:00:00 AM	Easterville and Chemanwawin MB, June 23-27, 2016. Evacuation orders were issued for the communities of Easterville and Chemanwawin Cree Nation, located 450 kilometres north of Winnipeg, due to smoke and the threat of a wildfire that came within half a kilometre of the two communities. There were three fires burning in the area at the time. The fire closest to Easterville and Chemanwawin reached a peak size of 350 hectares. Two water bombers, four bulldozers and seven ground crews kept the fire from reaching the communities. Approximately 2000 people from Chemawawin were evacuated and brought to Winnipeg and approximately 70 people from Easterville were evacuated and brought to The Pas. The Canadian Red Cross along with the help of the Indigenous and Municipal Relations (IMR) assisted with the coordination of the evacuation.			2070	0	0	27/06/2016 12:00:00 AM									
Disaster	Natural	Meteorological - Hydrological	Flood	Northeastern British Columbia	15/06/2016 12:00:00 AM	Northeastern British Columbia, June 15-17, 2016. Heavy rainfall throughout the Peace River region in northeastern British Columbia caused flooding in several communities. The district of Chetwynd declared a local state of emergency on June 15 after Chetwynd had received a total of 134.8 mm of rain over a two-day period. A section of Highway 97, the only route that connects the region of Peace River to the rest of the province, was closed due to flooding. The hardest hit by the flooding was the city of Dawson Creek where up to 98.6 mm of rain fell over a two-day period. In Dawson Creek, 60 people evacuated their homes due to flood waters that damaged approximately 400 homes, destroyed one bridge and submerged two others. The flooding in Dawson Creek cut the city in half, leaving residents in the south end of the city without power as well as separating the hospital from the fire hall, which created a challenge for emergency responders. In total, over 2000 homes and businesses (approximately 6000 individuals) were without power throughout the Peace River region as of June 15.			60	65132000	3043551.4	17/06/2016 12:00:00 AM	65132000							6000	
Disaster	Natural	Meteorological - Hydrological	Wildfire	Fort McMurray AB	30/04/2016 12:00:00 AM	Fort McMurray AB, April 30 to June 1, 2016. In May 2016, wildfires broke out in northern Alberta resulting in the most expensive natural disaster in the history of Canada. The city of Fort McMurray, located in the heart of the Athabasca oil sands, was hit by a massive system of wildfires that swept through the Regional Municipality of Wood Buffalo. The first wildfire was discovered on April 30, north of Fort McMurray. The Regional Municipality declared a local state of emergency and a mandatory evacuation order for Centennial Park on May 1 as well as another evacuation order for Prairie Creek and Centennial Trailer Park on May 2. The Fort McMurray fire grew rapidly due to hot and dry weather conditions, doubling in size to 2,656 hectares in a manner of hours. On May 3, the wildfire intensified and crossed over Highway 63, cutting off the route to evacuees, prompting the Athabasca Chipewyan First Nation to declare a state of local emergency and a mandatory evacuation order for Fort McMurray’s Lower Townsite and downtown area, which included the communities of Gregoire, Beacon Hill, Abasand, Waterways, Draper, Saline Creek, Grayling Terrace, Thickwood, Wood Buffalo and Dickinsfield. Later in the day the entire city of Fort McMurray was under a mandatory evacuation order. During the evacuations two people were killed in a car crash. On May 4, the Alberta government declared a provincial state of emergency. The Fort McMurray fire quickly grew to 85,000 hectares as the wildfire spread further north and east eventually passing through Fort McMurray. Evacuees that fled north of Fort McMurray had to be air lifted to safety. Some evacuees were taken to Lac La Biche, while the majority where sent to Edmonton and Calgary. On May 10, two of the main Fort McMurray fires joined together and formed a massive blaze of 229,000 hectares. On May 16, all workers in work camps and oil sand operations north of Fort McMurray were forced to move south as the wildfire spread further north. Residents of Fort McMurray were allowed to return home on June 1. In total, the Fort McMurray fires burned approximately 579,767 hectares of land causing the evacuation of over 90,000 people and destroyed 2,400 homes and business, including 530 other buildings that were damaged. At its peak, there were over 2000 firefighters working the fires daily, including helicopters and water bombers. In addition, firefighters received help from 200 firefighters from the United States, 60 from Mexico and 298 from South Africa. Firefighters and emergency response personnel received help from the Canadian Red Cross who assisted with evacuation efforts.	2		90000	4068678000	190125140.2	01/06/2016 12:00:00 AM	468678000					3600000000			
Disaster	Natural	Meteorological - Hydrological	Flood	Kashechewan First Nation ON	27/04/2016 12:00:00 AM	Kashechewan First Nation ON, April 27-30, 2016. The chief of Kashechewan First Nation declared a state of emergency on April 27 due to annual spring ice break up, snowmelt and subsequent run off in the James Bay coast. In total, 1,207 residents out of the 1,600 residents who live in the northern Ontario reserve evacuated their homes in multiple stages of evacuations that took place from April 29-30. Evacuees were taken to Kapuskasing and Thunder bay.			1207	0	0	30/04/2016 12:00:00 AM									
Disaster	Natural	Meteorological - Hydrological	Wildfire	Paul First Nation AB	18/04/2016 12:00:00 AM	Paul First Nation, AB, April 18-21, 2016. A state of emergency was issued for the Paul First Nation community located on Lake Wabumun, 70 km west of Edmonton. A large wildfire burned dangerously close to the community threatening 21 homes in the northeast corner of the reserve. The wildfire that destroyed one home forced the evacuation of 164 people outside the community of 1,100 residents. Wildfires burning around Edmonton destroyed two homes, injured two firefighters and destroyed one fire truck.		2	164	0	0	21/04/2016 12:00:00 AM									
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Nova Scotia	05/04/2016 12:00:00 AM	Nova Scotia, April 5, 2016. Several powers outages stretching from Annapolis Valley to Cape Breton resulted in up to 11,000 homes and businesses (approximately 33,000 individuals) being without power. The power outages were caused by strong winds and heavy rain that pushed trees onto power lines. The impacted areas included Coldbrook, Tatamagouche, Antigonish and Cheticamp. Many schools and businesses were closed due to the power outages and the Tancook Island Ferry service was shut down temporarily because of strong winds.				0	0	05/04/2016 12:00:00 AM								33000	
Incident	Technology	Fire	Residential	Pikangikum First Nation ON	29/03/2016 12:00:00 AM	Pikangikum First Nation ON, March 29, 2016. A residential fire in the remote northwestern Ontario community of Pikangikum First Nation, killed a total of nine people. All of the victims were family members and died from smoke inhalation. A five month old baby, a two year old and a four year old were the youngest of the victims. The cause of the fire is unknown.	9			0	0	29/03/2016 12:00:00 AM									
Disaster	Natural	Geological	Landslide	Horton ON	28/03/2016 12:00:00 AM	Horton ON, March 28-29, 2016. A 10 hectare landslide in the township of Horton slid into the Bonnechere River near Renfrew Ontario. The landslide congested the river with trees and debris causing a blockage, which resulted in flooding of up to seven metres. The flood water destroyed a cottage and a hunting camp as well as caused damage to the Renfrew Sewage Plant and Hydroelectric Plant.				0	0	29/03/2016 12:00:00 AM									
Disaster	Natural	Meteorological - Hydrological	Winter Storm	Southern Ontario	23/03/2016 12:00:00 AM	Southern Ontario, March 23-26, 2016. A warm front over southern Ontario caused snow, rain and freezing rain to fall over a three-day period. The wet weather began as snow for many regions in the Greater Toronto Area (GTA), and then briefly turned into rain before freezing rain occurred overnight. On March 24, freezing rain impacted regions west of Toronto and the GTA. Highly elevated areas including the Niagara escarpment, Dundalk Highlands and parts of the GTA received 24 hours of freezing rain. Freezing rain occurred throughout southern Ontario until March 26, leaving several communities with significant ice accumulation including 35 mm in Fergus, 33 mm in Orangeville, 20 mm Brampton and Newmarket as well as 10 mm north of Barrie and Toronto. The freezing rain caused damages to personal property and municipal infrastructure due to the significant ice buildup. Downed trees destroyed power lines and caused damages to homes, outbuildings and vehicles. Approximately 100,000 hydro customers (300,000 individuals) were without power during the storm. Additionally, the storm caused the cancelation of in-going and out-going flights at the Toronto Pearson International Airport and Billy Bishop Toronto City Airport as well as resulted in the closure and cancelation of schools and municipal busses.				0	0	26/03/2016 12:00:00 AM								300000	
Disaster	Natural	Meteorological - Hydrological	Storm - Unspecified / Other	South Coast and Lower Mainland British Columbia	09/03/2016 12:00:00 AM	South Coast and Lower Mainland British Columbia, March 9-10, 2016. A storm system off the coast of British Columbia generated a windstorm that impacted Vancouver Island, the southwest coast and the lower mainland. The storm produced up to 100 mm of rain and wind gusts of over 100 km/h in some parts. Heavy rainfall caused localized flooding in Comox Valley, Port Mellon and Port Alberni as well as caused a mudslide in Cowichan Valley. Strong winds and high tide contributed towards a storm surge that accompanied the storm, causing coastal flooding in Delta, Richmond and White Rock. The strong winds were attributed for causing the most significant damages including fallen trees that downed power lines, resulting in 160,000 BC Hydro customer (approximately 480,000 individuals) being without power. Due to the power outages, 11 schools in Surrey, five in Abbotsford and five in Mission were closed. The powerful winds also damaged roofs, broke windows and even flipped over a Cessna aircraft. In addition, one individual in Port Moody was killed when a tree crashed through the roof of her home while she was inside.	1			0	0	10/03/2016 12:00:00 AM								480000	
Disaster	Natural	Meteorological - Hydrological	Winter Storm	Ontario, Quebec, New Brunswick, Nove Scotia, Prince Edward Island and Newfoundland	24/02/2016 12:00:00 AM	Ontario, Quebec, New Brunswick, Nove Scotia, Prince Edward Island and Newfoundland, February 24-26, 2016. A storm system tracked its way northeast into the Great Lakes from the United States in late February. The system moved towards eastern Canada, causing widespread damages to Ontario, Quebec, New Brunswick, Nova Scotia, Prince Edward Island and Newfoundland. On February 24, freezing rain caused up to 25 mm of ice accumulation to build in parts of Ontario, Quebec and New Brunswick. On February 25, Quebec and New Brunswick experienced several hours of continued freezing rain. Heavy rain and thunderstorms trailed behind the freezing rain resulting in total rainfalls of 51 mm in Hamilton, Ontario, 36 mm in Lennoxville, Quebec and 68 mm in Gray River, Newfoundland. A combination of rain and mild weather that melted ice and snow resulted in localized flooding for numerous communities. Flooded basements were reported in Cornwall, Ontario, multiple underpasses were closed due to flooding in Montreal, Quebec, while local fire departments in northern New Brunswick warned drivers of poor road conditions due to ice ruts and isolated flooding. Multiple local states of emergency were declared in the Eastern Townships of Quebec where ice breakup resulted in the flooding of local rivers. Approximately 200 residents were evacuated and over 50 homes in Beauceville, Quebec were damaged by floodwaters. Fallen trees weighed down by the heavy ice and snow damaged power lines resulting in widespread power outages. Quebec was hit the hardest with over 250,000 hydro customers (approximately 750,000 individuals) affected by the power outages.			200	0	0	26/02/2016 12:00:00 AM								750000	
