Tweet_id,Aerolinea,Nombre_usuario,Sentimiento_aerolinea,Grado_de_confianza,Clasificacion_grado_de_confianza,Razon_negativa,Confianza_razon_negativa,Clasificacion_razon_negativa,Retweets,Comentario_limpio,Fecha_creación_tweet,Región_tweet,Zona horaria
570239632807370753,Virgin America,meredithjlynn,negative,1.0,Muy alta,Can't Tell,0.6614,Alta,0,VIRGINAMERICA WHAT HAPPENED  UR VEGAN FOOD OPTIONS AT LEAST SAY ON UR SITE SO I KNOW I WONT BE ABLE  EAT ANYTHING FOR NEXT  HRS FAIL,2015-02-24 07:11:37 -0800,None,None
570217831557677057,Virgin America,AdamSinger,neutral,0.6854,Alta,None,None,Muy alta,0,VIRGINAMERICA DO YOU MISS ME DONT WORRY WELL BE TOGETHER VERY SOON,2015-02-24 05:44:59 -0800,"San Francisco, CA",Central Time (US & Canada)
570207886493782019,Virgin America,blackjackpro911,negative,1.0,Muy alta,Bad Flight,1.0,Muy alta,0,VIRGINAMERICA AMAZING TO ME THAT WE CANT GET ANY COLD AIR FROM THE VENTS  NOAIR WORSTFLIGHTEVER ROASTED SFOTOBOS,2015-02-24 05:05:28 -0800,"San Mateo, CA & Las Vegas, NV",None
570124596180955136,Virgin America,TenantsUpstairs,neutral,0.615,Alta,None,0.0,Muy baja,0,VIRGINAMERICA LAX TO EWR  MIDDLE SEAT ON A RED EYE SUCH A NOOB MANEUVER SENDAMBIEN ANDCHEXMIX,2015-02-23 23:34:30 -0800,Brooklyn,Atlantic Time (Canada)
570114021854212096,Virgin America,jordanpichler,negative,1.0,Muy alta,Flight Booking Problems,1.0,Muy alta,0,VIRGINAMERICA HI I JUST BKED A COOL BIRTHDAY TRIP WITH YOU BUT I CANT ADD MY ELEVATE NO CAUSE I ENTERED MY MIDDLE NAME DURING FLIGHT BOOKING PROBLEMS 😢,2015-02-23 22:52:29 -0800,None,Vienna
570094701371469825,Virgin America,JCervantezzz,neutral,1.0,Muy alta,None,None,Muy alta,0,VIRGINAMERICA ARE THE HOURS OF OPERATION FOR THE CLUB AT SFO THAT ARE POSTED ONLINE CURRENT,2015-02-23 21:35:43 -0800,"California, San Francisco",Pacific Time (US & Canada)
570088404156698625,Virgin America,Cuschoolie1,negative,1.0,Muy alta,Customer Service Issue,1.0,Muy alta,0,VIRGINAMERICA HELP LEFT EXPENSIVE HEADPHONES ON FLIGHT  IAD TO LAX TODAY SEAT  NO ONE ANSWERING LAMPF NUMBER AT LAX,2015-02-23 21:10:41 -0800,Washington DC,Quito
570084582780899328,Virgin America,amanduhmccarty,negative,1.0,Muy alta,Customer Service Issue,1.0,Muy alta,0,VIRGINAMERICA AWAITING MY RETURN PHONE CALL JUST WOULD PREFER TO USE YOUR ONLINE SELFSERVICE OPTION ,2015-02-23 20:55:30 -0800,None,Pacific Time (US & Canada)
570076792993611776,Virgin America,NorthTxHomeTeam,positive,1.0,Muy alta,None,None,Muy alta,0,VIRGINAMERICA THIS IS GREAT NEWS  AMERICA COULD START FLIGHTS TO HAWAII BY END OF YEAR  VIA PACIFICBIZNEWS,2015-02-23 20:24:33 -0800,Texas,Central Time (US & Canada)
570051991277342720,Virgin America,miaerolinea,neutral,0.6207,Alta,None,None,Muy alta,0,NICE RT VIRGINAMERICA VIBE WITH THE MOODLIGHT FROM TAKEOFF TO TOUCHDOWN MOODLITMONDAY SCIENCEBEHINDTHEEXPERIENCE ,2015-02-23 18:46:00 -0800,Worldwide,Caracas
570051381534396416,Virgin America,Nicsplace,positive,1.0,Muy alta,None,None,Muy alta,0,VIRGINAMERICA MOODLIGHTING IS THE ONLY WAY TO FLY BEST EXPERIENCE EVER COOL AND CALMING 💜✈ MOODLITMONDAY,2015-02-23 18:43:35 -0800,Central Texas,None
570045393565691904,Virgin America,Nicsplace,positive,1.0,Muy alta,None,None,Muy alta,0,VIRGINAMERICA FREDDIEAWARDS DONE AND DONE BEST AIRLINE AROUND HANDS DOWN,2015-02-23 18:19:47 -0800,Central Texas,None
570038941497192448,Virgin America,elisha_malulani,neutral,0.6791,Alta,None,0.0,Muy baja,0,VIRGINAMERICA WHEN CAN I BOOK MY FLIGHT TO HAWAII,2015-02-23 17:54:09 -0800,i'm creating a monster ,Pacific Time (US & Canada)
570035876845084672,Virgin America,DannyDouglass,negative,1.0,Muy alta,Customer Service Issue,1.0,Muy alta,0,VIRGINAMERICA YOUR CHAT SUPPORT IS NOT WORKING ON YOUR SITE ,2015-02-23 17:41:58 -0800,"San Francisco, CA",Pacific Time (US & Canada)
570033593394667521,Virgin America,jamesferrandini,positive,0.6639,Alta,None,None,Muy alta,0,VIRGINAMERICA VIEW OF DOWNTOWN LOS ANGELES THE HOLLYWOOD SIGN AND BEYOND THAT RAIN IN THE MOUNTAINS ,2015-02-23 17:32:54 -0800,None,None
570025482344898560,Virgin America,will_lenzenjr,negative,0.6688,Alta,Flight Booking Problems,0.6688,Alta,0,VIRGINAMERICA HEY FIRST TIME FLYER NEXT WEEK  EXCITED BUT IM HAVING A HARD TIME GETTING MY FLIGHTS ADDED TO MY ELEVATE ACCOUNT HELP,2015-02-23 17:00:40 -0800,Iowa City,Central Time (US & Canada)
570016304284901379,Virgin America,GottAmanda,neutral,1.0,Muy alta,None,None,Muy alta,0,VIRGINAMERICA PLZ HELP ME WIN MY BID UPGRADE FOR MY FLIGHT  LAXGTSEA  🍷👍💺✈️,2015-02-23 16:24:11 -0800,Los Angeles,None
570015408788414464,Virgin America,KGervaise,neutral,0.6578,Alta,None,0.0,Muy baja,0,VIRGINAMERICA I HAVE AN UNUSED TICKET BUT MOVED TO A NEW CITY WHERE YOU DONT FLY HOW CAN I FLY WITH YOU BEFORE IT EXPIRES TRAVELHELP,2015-02-23 16:20:38 -0800,Georgia,Pacific Time (US & Canada)
570013523650048002,Virgin America,papamurat,neutral,1.0,Muy alta,None,None,Muy alta,0,VIRGINAMERICA ARE FLIGHTS LEAVING DALLAS FOR SEATTLE ON TIME FEB ,2015-02-23 16:13:09 -0800,None,None
570012257549070337,Virgin America,arieldaie,positive,1.0,Muy alta,None,None,Muy alta,0,VIRGINAMERICA IM ELEVATEGOLD FOR A GOOD REASON YOU ROCK,2015-02-23 16:08:07 -0800,Los Angeles,None
570011341483843584,Virgin America,vacations7,neutral,0.6799,Alta,None,None,Muy alta,0,VIRGINAMERICA  DREAM  ,2015-02-23 16:04:28 -0800,Turks and caicos,None
570010571707256832,Virgin America,ChelseaPoe666,positive,1.0,Muy alta,None,None,Muy alta,0,VIRGINAMERICA WOW THIS JUST BLEW MY MIND,2015-02-23 16:01:25 -0800,Oakland via Midwest ,Atlantic Time (Canada)
570010539499393025,Virgin America,BobGlavinVO,neutral,1.0,Muy alta,None,None,Muy alta,0,VIRGINAMERICA LADYGAGA CARRIEUNDERWOOD AFTER LAST NIGHT TRIBUTE SOUNDOFMUSIC  LADYGAGA I THINK CARRIEUNDERWOOD AGREE,2015-02-23 16:01:17 -0800,"New York, NY",Eastern Time (US & Canada)
570009713447825408,Virgin America,lisaaiko,neutral,0.6436,Alta,None,None,Muy alta,0,VIRGINAMERICA LADYGAGA CARRIEUNDERWOOD ALL WERE ENTERTAINING,2015-02-23 15:58:00 -0800,None,None
570009035455344640,Virgin America,grantbrowne,neutral,0.6764,Alta,None,0.0,Muy baja,0,VIRGINAMERICA IS FLIGHT  ON ITS WAY WAS SUPPOSED TO TAKE OFF  MINUTES AGO WEBSITE STILL SHOWS ON TIME NOT IN FLIGHT THANKS,2015-02-23 15:55:18 -0800,Worldwide,Central Time (US & Canada)
570006886012973056,Virgin America,joyabsalon,positive,0.657,Alta,None,None,Muy alta,0,VIRGINAMERICA LADYGAGA CARRIEUNDERWOOD JULIE ANDREWS ALL THE WAY THOUGH LADYGAGA WAS VERY IMPRESSIVE NO TO CARRIEUNDERWOOD,2015-02-23 15:46:46 -0800,Northern Virginia,Eastern Time (US & Canada)
570004391731847169,Virgin America,2v,neutral,1.0,Muy alta,None,None,Muy alta,0,VIRGINAMERICA WISH YOU FLEW OUT OF ATLANTA SOON,2015-02-23 15:36:51 -0800,Los Angeles / Atlanta,Eastern Time (US & Canada)
570001194900426752,Virgin America,KSmithFoundHere,neutral,0.7118,Alta,None,0.0,Muy baja,0,VIRGINAMERICA LADYGAGA CARRIEUNDERWOOD JULIE ANDREWS HANDS DOWN,2015-02-23 15:24:09 -0800,None,Atlantic Time (Canada)
570000071644872704,Virgin America,papamurat,neutral,1.0,Muy alta,None,None,Muy alta,0,VIRGINAMERICA WILL FLIGHTS BE LEAVING DALLAS FOR LA ON FEBRUARY ,2015-02-23 15:19:41 -0800,None,None
569996412286582784,Virgin America,murphicus,negative,0.6939,Alta,Flight Booking Problems,0.6939,Alta,0,VIRGINAMERICA HI IM SO EXCITED ABOUT YOUR  LGAGTDAL DEAL BUT IVE BEEN TRYING  BOOK SINCE LAST WEEK AMP THE PAGE NEVER LOADS THX,2015-02-23 15:05:09 -0800,"new york, new york",Eastern Time (US & Canada)
569996245462159361,Virgin America,VinnieFerra,positive,1.0,Muy alta,None,None,Muy alta,0,VIRGINAMERICA YOU KNOW IT NEED IT ON MY SPOTIFY STAT GUILTYPLEASURES,2015-02-23 15:04:29 -0800,"brooklyn, Ny",Pacific Time (US & Canada)
569990222609412097,Virgin America,KevinDemsi,positive,0.635,Alta,None,None,Muy alta,0,VIRGINAMERICA LADYGAGA CARRIEUNDERWOOD  IM LADY GAGA SHE IS AMAZING 😊,2015-02-23 14:40:33 -0800,"Bali, Republic of Indonesia",Kuala Lumpur
569990163209850881,Virgin America,giffgaffman,neutral,0.7007,Alta,None,None,Muy alta,0,VIRGINAMERICA LADYGAGA CARRIEUNDERWOOD  CARRIE,2015-02-23 14:40:19 -0800,"UK, USA. ",None
569989504431316993,Virgin America,HanlonBrothers,neutral,1.0,Muy alta,None,None,Muy alta,0,VIRGINAMERICA NEW MARKETING SONG  LET US KNOW WHAT YOU THINK,2015-02-23 14:37:42 -0800,"Gold Coast, Australia",Brisbane
569989321698074624,Virgin America,emilybg78,neutral,1.0,Muy alta,None,None,Muy alta,0,VIRGINAMERICA LADYGAGA CARRIEUNDERWOOD JULIE ANDREWS FIRST BUT LADY GAGA WOWD ME LAST NIGHT CARRIE MEH,2015-02-23 14:36:58 -0800,"Stockton, CA",Arizona
569989034501500928,Virgin America,rachie1126,negative,1.0,Muy alta,Customer Service Issue,1.0,Muy alta,0,VIRGINAMERICA I CALLED A  WEEKS AGO ABOUT ADDING  FLIGHTS FROM  TO MY ELEVATETHEY STILL HAVENT SHOWN UPHELP,2015-02-23 14:35:50 -0800,"New York, NY",Eastern Time (US & Canada)
569987622484848640,Virgin America,adawson66,neutral,0.6858,Alta,None,None,Muy alta,0,VIRGINAMERICA LADYGAGA CARRIEUNDERWOOD ALL ARE GREAT  BUT I HAVE TO GO WITH CARRIEUNDERWOOD 😍👌,2015-02-23 14:30:13 -0800,None,None
569986782567071744,Virgin America,SocialPLC,neutral,1.0,Muy alta,None,None,Muy alta,0,VIRGINAMERICA LADYGAGA CARRIEUNDERWOOD SORRY MARY MARTIN HAD IT FIRST,2015-02-23 14:26:53 -0800,"Twin Cities, Minn.",Eastern Time (US & Canada)
569986348041547778,Virgin America,jeffreymace01,positive,1.0,Muy alta,None,None,Muy alta,0,VIRGINAMERICA LADYGAGA CARRIEUNDERWOOD  LOVE ALL THREE BUT YOU REALLY CANT BEAT THE CLASSICS,2015-02-23 14:25:09 -0800,None,None
569982307634794497,Virgin America,1stcrown,neutral,0.6814,Alta,None,0.0,Muy baja,0,VIRGINAMERICA FLIGHT  DAL TO DCA   TRIED TO CHECK IN COULD NOT STATUS PLEASE,2015-02-23 14:09:06 -0800,USA,Central Time (US & Canada)
569976620158578688,Virgin America,onerockgypsy,negative,1.0,Muy alta,Customer Service Issue,1.0,Muy alta,0,VIRGINAMERICA HEYYYY GUYYYYS BEEN TRYING TO GET THROUGH FOR AN HOUR CAN SOMEONE CALL ME PLEASE ,2015-02-23 13:46:30 -0800,next city,Pacific Time (US & Canada)
569973821396152323,Virgin America,noelduan,negative,1.0,Muy alta,Late Flight,0.6789,Alta,0,VIRGINAMERICA HI VIRGIN IM ON HOLD FOR  MINUTES  ARE THERE ANY EARLIER FLIGHTS FROM LA TO NYC TONIGHT EARLIER THAN ,2015-02-23 13:35:23 -0800,SF ↔ NY,Eastern Time (US & Canada)
569972508499283968,Virgin America,Travelzoo,positive,0.6922,Alta,None,None,Muy alta,0,VIRGINAMERICA CONGRATS ON WINNING THE TRAVELZOO AWARD FOR BEST DEALS FROM AN AIRLINE US ,2015-02-23 13:30:10 -0800,"New York, NY",Pacific Time (US & Canada)
569967019958730753,Virgin America,gianagon,negative,1.0,Muy alta,Lost Luggage,1.0,Muy alta,0,VIRGINAMERICA EVERYTHING WAS FINE UNTIL YOU LOST MY BAG,2015-02-23 13:08:21 -0800,New York + Panama,Eastern Time (US & Canada)
569961866224652288,Virgin America,bxchen,neutral,1.0,Muy alta,None,None,Muy alta,0,VIRGINAMERICA NEED TO CHANGE RESERVATION HAVE VIRGIN CREDIT CARD DO I NEED TO MODIFY ON PHONE TO WAIVE CHANGE FEE OR CAN I DO ONLINE,2015-02-23 12:47:52 -0800,"San Francisco, CA",Eastern Time (US & Canada)
569949891163615232,Virgin America,seimatrun,neutral,0.6492,Alta,None,0.0,Muy baja,0,VIRGINAMERICA I EMAILED YOUR CUSTOMER SERVICE TEAM LET ME KNOW IF YOU NEED THE TRACKING NUMBER,2015-02-23 12:00:17 -0800,Los Angeles,None
569948966873370625,Virgin America,jamied7,neutral,1.0,Muy alta,None,None,Muy alta,0,VIRGINAMERICA HI I JUST BOOKED A FLIGHT BUT NEED TO ADD BAGGAGE HOW CAN I DO THIS,2015-02-23 11:56:37 -0800,"London, England",London
569946362126602240,Virgin America,seimatrun,negative,1.0,Muy alta,Flight Attendant Complaints,0.3516,Baja,0,VIRGINAMERICA YOUR AIRLINE IS AWESOME BUT YOUR LAX LOFT NEEDS TO STEP UP ITS GAME  FOR DIRTY TABLES AND FLOORS ,2015-02-23 11:46:16 -0800,Los Angeles,None
569942903683813376,Virgin America,mrmichaellay,positive,1.0,Muy alta,None,None,Muy alta,0,VIRGINAMERICA NOT WORRIED ITS BEEN A GREAT RIDE IN A NEW PLANE WITH GREAT CREW ALL AIRLINES SHOULD BE LIKE THIS,2015-02-23 11:32:31 -0800,Floridian from Cincinnati ,Eastern Time (US & Canada)
569941957490774016,Virgin America,TaylorLumsden,positive,1.0,Muy alta,None,None,Muy alta,0,VIRGINAMERICA AWESOME I FLEW YALL SAT MORNING ANY WAY WE CAN CORRECT MY BILL ,2015-02-23 11:28:46 -0800,"Dallas, Texas",Mountain Time (US & Canada)
569940834994401280,Virgin America,campusmoviefest,neutral,1.0,Muy alta,None,None,Muy alta,0,VIRGINAMERICA OR WATCH SOME OF THE BEST STUDENT FILMS IN THE COUNTRY AT  FEET  ,2015-02-23 11:24:18 -0800,USA,Eastern Time (US & Canada)
569940323746516993,Virgin America,TaylorLumsden,neutral,1.0,Muy alta,None,None,Muy alta,0,VIRGINAMERICA FIRST TIME FLYING YOU ALL DO YOU HAVE A DIFFERENT RATEPOLICY FOR MEDIA BAGS THANKS,2015-02-23 11:22:16 -0800,"Dallas, Texas",Mountain Time (US & Canada)
569935232033366017,Virgin America,meme_meng,negative,1.0,Muy alta,Customer Service Issue,1.0,Muy alta,0,VIRGINAMERICA WHAT IS GOING ON WITH CUSTOMER SERVICE IS THERE ANYWAY TO SPEAK TO A HUMAN ASAP THANK YOU,2015-02-23 11:02:02 -0800,None,None
569934395865493504,Virgin America,kyle_romanoff,neutral,1.0,Muy alta,None,None,Muy alta,0,VIRGINAMERICA WHAT HAPPENED TO DOOM,2015-02-23 10:58:43 -0800,None,None
569933816963342337,Virgin America,GunsNDip,negative,1.0,Muy alta,Customer Service Issue,1.0,Muy alta,0,VIRGINAMERICA WHY CANT YOU SUPP THE BIZ TRAVELER LIKE SOUTHWESTAIR  AND HAVE CUSTOMER SERVICE LIKE JETBLUE NEVERFLYVIRGINFORBUSINESS,2015-02-23 10:56:25 -0800,None,Pacific Time (US & Canada)
569933777931145216,Virgin America,artisticwritr87,positive,1.0,Muy alta,None,None,Muy alta,0,VIRGINAMERICA IVE APPLIED MORE THEN ONCE TO BE A MEMBER OF THE INFLIGHT CREW TEAMIM  INTERESTED FLIGHTATTENDANT DREAMPATH G,2015-02-23 10:56:16 -0800,"Seattle, WA",Pacific Time (US & Canada)
569933405506310144,Virgin America,arieldaie,negative,0.6792,Alta,Late Flight,0.3477,Baja,0,VIRGINAMERICA YOURE THE BEST WHENEVER I BEGRUDGINGLY USE ANY OTHER AIRLINE IM DELAYED AND LATE FLIGHT ,2015-02-23 10:54:47 -0800,Los Angeles,None
569933360564342784,Virgin America,GunsNDip,negative,1.0,Muy alta,Can't Tell,1.0,Muy alta,0,VIRGINAMERICA I HAVE NO INTERESTING FLYING WITH YOU AFTER THIS I WILL CANCELLED FLIGHT MY NEXT FOUR FLIGHTS I PLANNEDNEVERFLYVIRGINFORBUSINESS,2015-02-23 10:54:36 -0800,None,Pacific Time (US & Canada)
569929243146088448,Virgin America,GunsNDip,negative,1.0,Muy alta,Can't Tell,1.0,Muy alta,0,VIRGINAMERICA IT WAS A DISAPPOINTING EXPERIENCE WHICH WILL BE SHARED WITH EVERY BUSINESS TRAVELER I MEET NEVERFLYVIRGIN,2015-02-23 10:38:14 -0800,None,Pacific Time (US & Canada)
569926998824394752,Virgin America,jsatk,negative,1.0,Muy alta,Flight Booking Problems,1.0,Muy alta,0,VIRGINAMERICA I’M HAVING TROUBLE ADDING THIS FLIGHT MY WIFE BOOKED TO MY ELEVATE ACCOUNT HELP ,2015-02-23 10:29:19 -0800,"Lower Pacific Heights, SF, CA",Pacific Time (US & Canada)
569923394990419968,Virgin America,serenaklal,neutral,0.6705,Alta,None,0.0,Muy baja,0,VIRGINAMERICA CANT BRING UP MY RESERVATION ONLINE USING FLIGHT BOOKING PROBLEMS CODE,2015-02-23 10:15:00 -0800,Chicago,Eastern Time (US & Canada)
569922008588222465,Virgin America,openambit1,neutral,1.0,Muy alta,None,None,Muy alta,0,VIRGINAMERICA RANDOM Q WHATS THE DISTRIBUTION OF ELEVATE AVATARS I BET THAT KITTY HAS A DISPROPORTIONATE SHARE ,2015-02-23 10:09:30 -0800,None,None
569920824905306113,Virgin America,cabowine,neutral,0.6545,Alta,None,0.0,Muy baja,0,VIRGINAMERICA I  FLYING VA BUT LIFE HAPPENS AND I AM TRYING TO CHANGE MY TRIP JPERHI  CAN YOU HELPVA HOME PAGE WILL NOT LET ME ,2015-02-23 10:04:47 -0800,"Los Cabos,Mexico",Arizona
569919041244147712,Virgin America,MaryAnnTaylorT,negative,1.0,Muy alta,Can't Tell,0.6513,Alta,0,VIRGINAMERICA WHY IS THE SITE DOWN  WHEN WILL IT BE BACK UP,2015-02-23 09:57:42 -0800,"New York, NY",Arizona
569915941192015872,Virgin America,RamotControl,neutral,1.0,Muy alta,None,None,Muy alta,0,VIRGINAMERICA YOU DOWN WITH RNP YEAH YOU KNOW ME,2015-02-23 09:45:23 -0800,None,Pacific Time (US & Canada)
569913339427434496,Virgin America,losermelon,neutral,0.6639,Alta,None,0.0,Muy baja,0,VIRGINAMERICA HI I DID NOT GET POINTS ON MY ELEVATE ACCOUNT FOR MY MOST RECENT FLIGHT HOW DO I ADD THE FLIGHT AND POINTS TO MY ACCOUNT,2015-02-23 09:35:03 -0800,None,None
569911816937033728,Virgin America,AlisonK33774854,negative,1.0,Muy alta,Cancelled Flight,1.0,Muy alta,0,VIRGINAMERICA I LIKE THE TV AND INTERESTING VIDEO  JUST DISAPPOINTED IN CANCELLED FLIGHTLED FLIGHT WHEN OTHER FLIGHTS WENT OUT TO JFK ON SATURDAY ,2015-02-23 09:29:00 -0800,None,None
569911674158731264,Virgin America,GunsNDip,negative,1.0,Muy alta,Late Flight,1.0,Muy alta,0,VIRGINAMERICA JUST LANDED IN LAX AN HOUR AFTER I SHOULD OF BEEN HERE YOUR NO LATE FLIGHT BAG CHECK IS NOT BUSINESS TRAVEL FRIENDLY NOMOREVIRGIN,2015-02-23 09:28:26 -0800,None,Pacific Time (US & Canada)
