Date;Day;DOW;Holiday;Influenza;Iws;PM10_lag0;PMc_lag0;Ir;NO2_lag0;O3_lag0;CO_lag0;PM25_lag1;PM10_lag1;Is;SO2_lag1;NO2_lag1;O3_lag1;CO_lag1;PM25_lag2;PM10_lag2;PMc_lag2;SO2_lag2;NO2_lag2;O3_lag2;CO_lag2;PM25_lag3;PM10_lag3;PMc_lag3;SO2_lag3;NO2_lag3;O3_lag3;CO_lag3;PM25_lag4;PM10_lag4;PMc_lag4;SO2_lag4;NO2_lag4;O3_lag4;CO_lag4;PM25_lag5;PM10_lag5;PMc_lag5;SO2_lag5;NO2_lag5;O3_lag5;CO_lag5;PM25_lag01;PM10_lag01;PMc_lag01;SO2_lag01;NO2_lag01;O3_lag01;CO_lag01;PM25_lag02;PM10_lag02;PMc_lag02;SO2_lag02;NO2_lag02;O3_lag02;CO_lag02;PM25_lag03;PM10_lag03;PMc_lag03;SO2_lag03;NO2_lag03;O3_lag03;CO_lag03;temp_lag0;temp_lag14;humid_lag0;Totalheart;Hypertension;CHD;Arrhythmia;Heartfailure;Cerebrovascular;Total_cardio;Totalheart_man;Hypertension_man;CHD_man;Other_man;Arrhythmia_man;Heartfailure_man;Cerebrovascular_man;Total_cardio_man;Totalheart_woman;Hypertension_woman;CHD_woman;Other_woman;Arrhythmia_woman;Heartfailure_woman;Cerebrovascular_woman;Total_cardio_woman;Totalheart_age1;Hypertension_age1;CHD_age1;Other_age1;Arrhythmia_age1;Heartfailure_age1;Cerebrovascular_age1;Total_cardio_age1;Totalheart_age2;Hypertension_age2;CHD_age2;Other_age2;Arrhythmia_age2;Heartfailure_age2;Cerebrovascular_age2;Total_cardio_age2;Total_Res;URTI;LRTI;AECOPD;Asthma;Total_res_man;URTI_man;LRTI_man;AECOPD_man;Asthma_man;Total_woman;URTI_woman;LRTI_woman;AECOPD_woman;Asthma_woman;Total_age1;URTI_age1;LRTI_age1;AECOPD_age1;Asthma_age1;Total_age2;URTI_age2;LRTI_age2;AECOPD_age2;Asthma_age2;Total_age3;URTI_age3;LRTI_age3;AECOPD_age3;Asthma_age3;Total_age4;URTI_age4;LRTI_age4;AECOPD_age4;Asthma_age4;all0;all1;URTI0;URTI1;LRTI0;LRTI1;Asthma0;Asthma1;AECOPD0;AECOPD1;xxx
11/01/2013;11;5;0;1;328.41;369.47;46.25;115.65;138.65;20.25;5.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;328.41;369.47;46.25;115.65;138.65;20.25;5.94;328.41;369.47;46.25;115.65;138.65;20.25;5.94;328.41;369.47;46.25;115.65;138.65;20.25;5.94;-5.64;-8.03;72;63;30;20;1;6;35;98;29;13;10;3;0;3;21;50;34;17;10;3;1;3;14;48;28;12;8;5;1;2;20;48;35;18;12;1;0;4;15;50;476;338;126;1;5;221;160;55;1;3;254;178;70;0;2;30;19;11;0;0;213;186;22;0;1;127;96;29;0;1;106;37;64;1;3;395;81;315;23;72;54;3;2;;1;1
12/01/2013;12;6;1;1;430;487.88;66.87;102.69;171.47;11.56;8.06;328.41;369.47;46.25;115.65;138.65;20.25;5.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;379.21;428.68;56.56;109.17;155.06;15.91;7;379.21;428.68;56.56;109.17;155.06;15.91;7;379.21;428.68;56.56;109.17;155.06;15.91;7;-6.78;-8.03;73.95;63;34;12;7;1;23;86;25;10;7;5;3;0;13;38;38;24;5;4;4;1;10;48;28;16;5;6;1;0;8;36;35;18;7;3;6;1;15;50;521;347;159;5;4;231;150;74;4;1;290;197;85;1;3;28;10;18;0;0;227;194;31;0;0;153;102;45;0;3;113;41;65;5;1;430;91;315;32;106;53;3;1;1;4;1
13/01/2013;13;7;1;1;508.53;577.41;81.13;133.82;153.94;8.38;8.41;430;487.88;66.87;102.69;171.47;11.56;8.06;328.41;369.47;46.25;115.65;138.65;20.25;5.94;;;;;;;;;;;;;;;;;;;;;;469.27;532.65;74;118.26;162.71;9.97;8.24;422.31;478.25;64.75;117.39;154.69;13.4;7.47;422.31;478.25;64.75;117.39;154.69;13.4;7.47;-5.9;-8.51;75.31;74;31;22;9;4;41;115;39;14;16;4;5;0;20;59;35;17;6;4;4;4;21;56;43;21;14;4;4;0;18;61;31;10;8;4;5;4;23;54;541;336;186;4;0;240;131;98;4;0;301;205;88;0;0;31;13;17;0;0;210;165;41;0;0;166;114;45;0;0;134;44;83;4;0;455;86;310;26;131;55;;;1;3;1
14/01/2013;14;1;0;1;247.76;261.12;51;99.25;122;18.24;6.29;508.53;577.41;81.13;133.82;153.94;8.38;8.41;430;487.88;66.87;102.69;171.47;11.56;8.06;328.41;369.47;46.25;115.65;138.65;20.25;5.94;;;;;;;;;;;;;;;378.15;419.27;66.07;116.54;137.97;13.31;7.35;395.43;442.14;66.33;111.92;149.14;12.73;7.59;378.68;423.97;61.31;112.85;146.52;14.61;7.18;-5.27;-8.87;75.34;75;39;24;2;1;51;126;34;17;11;4;1;1;32;66;41;22;13;5;1;0;19;60;31;17;9;5;0;0;28;59;44;22;15;4;2;1;23;67;478;345;119;5;1;203;140;53;3;1;275;205;66;2;0;16;7;9;0;0;231;206;23;0;0;135;102;31;0;0;96;30;56;5;1;405;73;323;22;75;44;;1;1;4;1
15/01/2013;15;2;0;1;100.41;106.56;24.67;40;76.44;19.94;2.88;247.76;261.12;51;99.25;122;18.24;6.29;508.53;577.41;81.13;133.82;153.94;8.38;8.41;430;487.88;66.87;102.69;171.47;11.56;8.06;328.41;369.47;46.25;115.65;138.65;20.25;5.94;;;;;;;;174.09;183.84;37.84;69.63;99.22;19.09;4.59;285.57;315.03;52.27;91.02;117.46;15.52;5.86;321.68;358.24;55.92;93.94;130.96;14.53;6.41;-4.56;-8.52;74.31;78;33;27;6;3;40;118;37;15;12;5;4;1;17;54;41;18;15;4;2;2;23;64;33;12;15;4;2;0;23;56;45;21;12;5;4;3;17;62;436;289;131;3;10;191;126;60;1;2;245;163;71;2;8;13;9;4;0;0;195;165;26;0;4;125;77;44;0;2;103;38;57;3;4;359;77;267;22;83;48;7;3;;3;1
16/01/2013;16;3;0;1;111.88;134.22;32.44;45.24;80.24;43.41;3.18;100.41;106.56;24.67;40;76.44;19.94;2.88;247.76;261.12;51;99.25;122;18.24;6.29;508.53;577.41;81.13;133.82;153.94;8.38;8.41;430;487.88;66.87;102.69;171.47;11.56;8.06;328.41;369.47;46.25;115.65;138.65;20.25;5.94;106.15;120.39;28.56;42.62;78.34;31.68;3.03;153.35;167.3;36.04;61.5;92.89;27.2;4.12;242.15;269.83;47.31;79.58;108.16;22.49;5.19;-5.95;-8.06;59.2;79;38;22;6;2;36;115;31;14;9;6;1;1;22;53;48;24;13;5;5;1;14;62;28;16;5;4;3;0;17;45;51;22;17;7;3;2;19;70;437;299;122;2;7;174;110;56;1;3;263;189;66;1;4;16;10;6;0;0;194;169;20;0;1;121;83;35;0;1;106;37;61;2;5;358;79;276;23;73;49;3;4;;2;1
17/01/2013;17;4;0;1;43.35;57.77;14.85;39.41;76.82;27.44;2.35;111.88;134.22;32.44;45.24;80.24;43.41;3.18;100.41;106.56;24.67;40;76.44;19.94;2.88;247.76;261.12;51;99.25;122;18.24;6.29;508.53;577.41;81.13;133.82;153.94;8.38;8.41;430;487.88;66.87;102.69;171.47;11.56;8.06;77.62;96;23.65;42.33;78.53;35.43;2.77;85.21;99.52;23.99;41.55;77.83;30.26;2.8;125.85;139.92;30.74;55.98;88.88;27.26;3.68;-6.24;-7.63;53.19;61;23;22;5;1;29;90;29;9;12;5;2;1;13;42;32;14;10;5;3;0;16;48;23;10;9;2;2;0;12;35;38;13;13;8;3;1;17;55;398;255;125;0;4;179;104;66;0;1;219;151;59;0;3;23;10;12;0;0;159;129;26;0;1;115;83;27;0;1;101;33;60;0;2;321;77;232;23;78;47;3;1;;;1
18/01/2013;18;5;0;1;142.31;171.21;27.79;75.44;114.5;39.63;4.12;43.35;57.77;14.85;39.41;76.82;27.44;2.35;111.88;134.22;32.44;45.24;80.24;43.41;3.18;100.41;106.56;24.67;40;76.44;19.94;2.88;247.76;261.12;51;99.25;122;18.24;6.29;508.53;577.41;81.13;133.82;153.94;8.38;8.41;92.83;114.49;21.32;57.43;95.66;33.54;3.24;99.18;121.07;25.03;53.36;90.52;36.83;3.22;99.49;117.44;24.94;50.02;87;32.61;3.13;-5.74;-7.14;63.65;74;32;26;5;6;44;118;21;10;5;2;0;4;23;44;53;22;21;3;5;2;21;74;24;10;8;2;3;1;21;45;50;22;18;3;2;5;23;73;375;246;112;2;2;160;91;58;2;1;215;155;54;0;1;18;9;9;0;0;165;136;22;0;0;111;72;34;0;1;81;29;47;2;1;310;65;225;21;73;39;1;1;;2;1
19/01/2013;19;6;1;1;207.41;241.67;35.67;83.06;112.12;47.65;4.88;142.31;171.21;27.79;75.44;114.5;39.63;4.12;43.35;57.77;14.85;39.41;76.82;27.44;2.35;111.88;134.22;32.44;45.24;80.24;43.41;3.18;100.41;106.56;24.67;40;76.44;19.94;2.88;247.76;261.12;51;99.25;122;18.24;6.29;174.86;206.44;31.73;79.25;113.31;43.64;4.5;131.02;156.88;26.1;65.97;101.15;38.24;3.78;126.24;151.22;27.69;60.79;95.92;39.53;3.63;-3.78;-6.67;63.47;63;32;14;7;4;43;106;20;12;4;1;2;1;24;44;43;20;10;5;5;3;19;62;23;14;4;2;3;0;19;42;40;18;10;4;4;4;24;64;403;253;127;4;5;182;108;58;3;2;221;145;69;1;3;19;7;11;0;1;179;136;35;0;1;109;73;30;1;2;96;37;51;3;1;338;65;234;19;89;38;4;1;1;3;1
20/01/2013;20;7;1;1;111;;;37.24;37.24;27.38;3.47;207.41;241.67;35.67;83.06;112.12;47.65;4.88;142.31;171.21;27.79;75.44;114.5;39.63;4.12;43.35;57.77;14.85;39.41;76.82;27.44;2.35;111.88;134.22;32.44;45.24;80.24;43.41;3.18;100.41;106.56;24.67;40;76.44;19.94;2.88;159.21;241.67;35.67;60.15;74.68;37.52;4.18;153.57;206.44;31.73;65.25;87.95;38.22;4.16;126.02;156.88;26.1;58.79;85.17;35.53;3.71;-3.36;-6.23;78.71;49;20;13;9;3;34;83;15;7;2;3;3;0;18;33;34;13;11;1;6;3;16;50;20;10;3;3;4;0;14;34;29;10;10;1;5;3;20;49;355;233;107;1;8;163;104;53;1;4;191;128;54;0;4;16;7;9;0;0;163;132;29;0;1;89;63;19;0;5;87;31;50;1;2;294;61;210;23;73;34;7;1;;1;1
21/01/2013;21;1;0;1;125.82;121;76;54.47;83.65;37.24;3.82;111;;;37.24;37.24;27.38;3.47;207.41;241.67;35.67;83.06;112.12;47.65;4.88;142.31;171.21;27.79;75.44;114.5;39.63;4.12;43.35;57.77;14.85;39.41;76.82;27.44;2.35;111.88;134.22;32.44;45.24;80.24;43.41;3.18;118.41;121;76;45.86;60.45;32.31;3.65;148.08;181.34;55.84;58.26;77.67;37.42;4.06;146.64;177.96;46.49;62.55;86.88;37.98;4.07;-3.5;-5.89;79.36;76;33;26;6;1;43;119;35;16;13;2;3;1;19;54;41;17;13;8;3;0;24;65;33;18;9;4;2;0;24;57;43;15;17;6;4;1;19;62;346;198;134;1;6;166;95;61;0;4;180;103;73;1;2;19;12;6;0;1;145;115;28;0;0;94;53;36;0;2;88;18;64;1;3;283;63;187;11;85;49;4;2;1;;1
22/01/2013;22;2;0;1;72.25;136.57;73;49.5;89.56;19.94;2.81;125.82;121;76;54.47;83.65;37.24;3.82;111;;;37.24;37.24;27.38;3.47;207.41;241.67;35.67;83.06;112.12;47.65;4.88;142.31;171.21;27.79;75.44;114.5;39.63;4.12;43.35;57.77;14.85;39.41;76.82;27.44;2.35;99.04;128.79;74.5;51.99;86.61;28.59;3.32;103.02;128.79;74.5;47.07;70.15;28.19;3.37;129.12;166.41;61.56;56.07;80.64;33.05;3.75;-7.04;-5.79;79.44;89;34;33;4;4;38;127;37;14;16;4;1;2;22;59;52;20;17;10;3;2;16;68;40;17;13;7;2;1;18;58;49;17;20;7;2;3;20;69;322;204;105;5;5;154;93;55;2;1;168;111;50;3;4;11;4;7;0;0;145;118;25;0;2;88;55;29;1;1;78;27;44;4;2;260;62;187;17;67;38;3;2;1;4;1
23/01/2013;23;3;0;1;202.35;202.92;52.56;60.18;102.24;43.41;4.76;72.25;136.57;73;49.5;89.56;19.94;2.81;125.82;121;76;54.47;83.65;37.24;3.82;111;;;37.24;37.24;27.38;3.47;207.41;241.67;35.67;83.06;112.12;47.65;4.88;142.31;171.21;27.79;75.44;114.5;39.63;4.12;137.3;169.75;62.78;54.84;95.9;31.68;3.79;133.47;153.5;67.19;54.72;91.82;33.53;3.8;127.86;153.5;67.19;50.35;78.17;31.99;3.72;-5.59;-5.53;84.12;69;35;21;6;2;46;115;29;13;15;0;1;0;22;51;40;22;6;5;5;2;24;64;29;15;8;3;3;0;21;50;40;20;13;2;3;2;25;65;277;165;96;1;9;135;82;46;0;2;141;83;49;1;7;8;4;4;0;0;122;95;20;0;4;71;46;23;0;2;76;20;49;1;3;222;55;153;12;59;37;7;2;;1;1
24/01/2013;24;4;0;1;125.24;106.38;55.57;47.88;77.59;40.69;3.35;202.35;202.92;52.56;60.18;102.24;43.41;4.76;72.25;136.57;73;49.5;89.56;19.94;2.81;125.82;121;76;54.47;83.65;37.24;3.82;111;;;37.24;37.24;27.38;3.47;207.41;241.67;35.67;83.06;112.12;47.65;4.88;163.8;154.65;54.07;54.03;89.92;42.05;4.06;133.28;148.62;60.38;52.52;89.8;34.68;3.64;131.42;141.72;64.28;53.01;88.26;35.32;3.69;-4.53;-5.24;53.33;65;30;21;5;2;40;105;36;17;11;3;4;1;25;61;29;13;10;4;1;1;15;44;23;11;8;4;0;0;25;48;42;19;13;3;5;2;15;57;311;217;80;1;5;129;89;34;0;1;182;128;46;1;4;9;3;4;0;2;143;126;11;0;1;81;59;20;1;1;78;29;45;0;1;252;59;200;17;42;38;4;1;1;;1
25/01/2013;25;5;0;1;86.29;110;23.71;73.41;85.06;46.82;3.53;125.24;106.38;55.57;47.88;77.59;40.69;3.35;202.35;202.92;52.56;60.18;102.24;43.41;4.76;72.25;136.57;73;49.5;89.56;19.94;2.81;125.82;121;76;54.47;83.65;37.24;3.82;111;;;37.24;37.24;27.38;3.47;105.77;108.19;39.64;60.65;81.33;43.76;3.44;137.96;139.77;43.95;60.49;88.3;43.64;3.88;121.53;138.97;51.21;57.74;88.61;37.72;3.61;-7.09;-5.35;55.76;62;27;18;9;1;42;104;34;15;8;3;7;1;12;46;28;12;10;4;2;0;30;58;24;12;5;4;3;0;20;44;38;15;13;3;6;1;22;60;296;170;106;2;2;129;69;52;1;0;167;101;54;1;2;12;6;6;0;0;134;100;23;0;0;83;43;37;0;0;67;21;40;2;2;245;51;157;13;73;33;;2;;2;1
26/01/2013;26;6;1;1;127.12;153.6;24.07;83.94;98.65;60.71;4.12;86.29;110;23.71;73.41;85.06;46.82;3.53;125.24;106.38;55.57;47.88;77.59;40.69;3.35;202.35;202.92;52.56;60.18;102.24;43.41;4.76;72.25;136.57;73;49.5;89.56;19.94;2.81;125.82;121;76;54.47;83.65;37.24;3.82;106.71;131.8;23.89;78.68;91.86;53.77;3.83;112.88;123.33;34.45;68.41;87.1;49.41;3.67;135.25;143.23;38.98;66.35;90.89;47.91;3.94;-5.85;-5.28;64.22;78;37;19;1;5;29;107;29;13;7;7;0;2;7;36;49;24;12;9;1;3;22;71;34;17;2;10;1;4;16;50;44;20;17;6;0;1;13;57;317;188;114;1;5;143;79;57;1;2;174;109;57;0;3;10;6;4;0;0;125;105;15;0;0;98;57;35;0;2;84;20;60;1;3;241;76;171;17;58;56;3;2;;1;1
27/01/2013;27;7;1;1;238.29;250.25;19.09;77.24;111.59;28.76;5.41;127.12;153.6;24.07;83.94;98.65;60.71;4.12;86.29;110;23.71;73.41;85.06;46.82;3.53;125.24;106.38;55.57;47.88;77.59;40.69;3.35;202.35;202.92;52.56;60.18;102.24;43.41;4.76;72.25;136.57;73;49.5;89.56;19.94;2.81;182.71;201.93;21.58;80.59;105.12;44.74;4.77;150.57;171.28;22.29;78.2;98.43;45.43;4.35;144.24;155.06;30.61;70.62;93.22;44.25;4.1;-5.01;-5.22;76.33;60;32;11;9;0;35;95;36;15;7;6;8;0;20;56;24;17;4;2;1;0;15;39;27;18;3;3;3;0;21;48;33;14;8;5;6;0;14;47;289;167;103;2;10;143;80;54;2;4;146;87;49;0;6;7;6;1;0;0;115;95;13;0;2;86;54;28;2;2;81;12;61;0;6;222;67;160;7;50;53;5;5;2;;1
28/01/2013;28;1;0;1;313;374.5;60.88;91.47;112.82;36.29;5.29;238.29;250.25;19.09;77.24;111.59;28.76;5.41;127.12;153.6;24.07;83.94;98.65;60.71;4.12;86.29;110;23.71;73.41;85.06;46.82;3.53;125.24;106.38;55.57;47.88;77.59;40.69;3.35;202.35;202.92;52.56;60.18;102.24;43.41;4.76;275.65;312.38;39.99;84.36;112.21;32.53;5.35;226.14;259.45;34.68;84.22;107.69;41.92;4.94;191.18;222.09;31.94;81.52;102.03;43.15;4.59;-2.61;-5.03;77.35;95;37;26;6;6;53;148;43;17;10;8;4;4;23;66;52;20;16;12;2;2;30;82;37;15;10;10;2;0;25;62;58;22;16;10;4;6;28;86;339;216;107;3;5;138;72;58;2;2;201;144;49;1;3;5;3;2;0;0;140;116;19;0;1;79;55;21;0;2;115;42;65;3;2;244;95;189;27;47;60;3;2;;3;1
29/01/2013;29;2;0;1;207.41;375.88;168.47;101.25;115.88;22.65;5;313;374.5;60.88;91.47;112.82;36.29;5.29;238.29;250.25;19.09;77.24;111.59;28.76;5.41;127.12;153.6;24.07;83.94;98.65;60.71;4.12;86.29;110;23.71;73.41;85.06;46.82;3.53;125.24;106.38;55.57;47.88;77.59;40.69;3.35;260.21;375.19;114.68;96.36;114.35;29.47;5.15;252.9;333.54;82.81;89.99;113.43;29.23;5.23;221.46;288.56;68.13;88.48;109.74;37.1;4.96;-3.56;-4.96;83.4;76;31;20;10;3;99;175;32;14;9;5;2;2;55;87;44;17;11;7;8;1;44;88;37;16;9;10;2;0;45;82;39;15;11;2;8;3;54;93;300;170;116;3;9;119;64;52;0;3;181;106;64;3;6;11;9;2;0;0;115;90;24;0;1;74;45;26;0;2;100;26;64;3;6;214;86;151;19;58;58;4;5;;3;1
30/01/2013;30;3;0;1;257.71;299.06;40.94;101.18;118.29;23.35;6.18;207.41;375.88;168.47;101.25;115.88;22.65;5;313;374.5;60.88;91.47;112.82;36.29;5.29;238.29;250.25;19.09;77.24;111.59;28.76;5.41;127.12;153.6;24.07;83.94;98.65;60.71;4.12;86.29;110;23.71;73.41;85.06;46.82;3.53;232.56;337.47;104.71;101.22;117.09;23;5.59;259.37;349.81;90.1;97.97;115.66;27.43;5.49;254.1;324.92;72.35;92.79;114.65;27.76;5.47;-3.4;-4.77;87.84;79;33;22;5;9;83;162;30;12;11;2;3;2;39;69;49;21;11;8;2;7;44;93;34;15;11;6;2;0;49;83;45;18;11;4;3;9;34;79;283;157;106;2;6;111;62;41;2;1;172;95;65;0;5;9;5;3;0;0;104;82;18;0;0;79;49;25;0;1;91;21;60;2;5;208;75;142;15;53;53;1;5;1;1;1
31/01/2013;31;4;0;1;261.94;310.56;48.44;83.06;114.5;19.65;4.12;257.71;299.06;40.94;101.18;118.29;23.35;6.18;207.41;375.88;168.47;101.25;115.88;22.65;5;313;374.5;60.88;91.47;112.82;36.29;5.29;238.29;250.25;19.09;77.24;111.59;28.76;5.41;127.12;153.6;24.07;83.94;98.65;60.71;4.12;259.83;304.81;44.69;92.12;116.4;21.5;5.15;242.35;328.5;85.95;95.16;116.22;21.88;5.1;260.02;340;79.68;94.24;115.37;25.49;5.15;-1.99;-4.47;91.72;73;25;32;4;6;95;168;39;16;17;1;2;3;48;87;34;9;15;5;2;3;47;81;31;12;14;2;0;3;52;83;42;13;18;4;4;3;43;85;300;180;106;2;8;127;71;49;2;3;173;109;57;0;5;12;7;4;0;1;124;107;16;0;0;61;45;14;0;2;103;21;72;2;5;218;82;166;14;47;59;3;5;;2;1
