,Area,Item,Element,Year,Months,Unit,Value
30,Austria,"Meat, chicken",Producer Price (USD/tonne),2016,Annual value,USD,2313.0
31,Austria,"Meat, chicken",Producer Price (USD/tonne),2017,Annual value,USD,2345.1
32,Austria,"Meat, chicken",Producer Price (USD/tonne),2018,Annual value,USD,3224.8
33,Austria,Soybeans,Producer Price (USD/tonne),2008,Annual value,USD,480.5
34,Austria,Soybeans,Producer Price (USD/tonne),2009,Annual value,USD,377.9
35,Austria,Soybeans,Producer Price (USD/tonne),2010,Annual value,USD,427.8
36,Austria,Soybeans,Producer Price (USD/tonne),2011,Annual value,USD,481.0
37,Austria,Soybeans,Producer Price (USD/tonne),2012,Annual value,USD,600.0
38,Austria,Soybeans,Producer Price (USD/tonne),2013,Annual value,USD,523.1
39,Austria,Soybeans,Producer Price (USD/tonne),2014,Annual value,USD,460.4
40,Austria,Soybeans,Producer Price (USD/tonne),2015,Annual value,USD,353.8
41,Austria,Soybeans,Producer Price (USD/tonne),2016,Annual value,USD,368.3
42,Austria,Soybeans,Producer Price (USD/tonne),2017,Annual value,USD,388.8
43,Austria,Soybeans,Producer Price (USD/tonne),2018,Annual value,USD,403.7
44,Belgium,Apples,Producer Price (USD/tonne),2008,Annual value,USD,801.7
45,Belgium,Apples,Producer Price (USD/tonne),2009,Annual value,USD,492.7
46,Belgium,Apples,Producer Price (USD/tonne),2010,Annual value,USD,501.2
47,Belgium,Apples,Producer Price (USD/tonne),2011,Annual value,USD,722.0
48,Belgium,Apples,Producer Price (USD/tonne),2012,Annual value,USD,654.2
49,Belgium,Apples,Producer Price (USD/tonne),2013,Annual value,USD,815.6
50,Belgium,Apples,Producer Price (USD/tonne),2014,Annual value,USD,622.3
51,Belgium,Apples,Producer Price (USD/tonne),2015,Annual value,USD,437.2
52,Belgium,Apples,Producer Price (USD/tonne),2016,Annual value,USD,395.8
53,Belgium,Apples,Producer Price (USD/tonne),2017,Annual value,USD,559.1
54,Belgium,Apples,Producer Price (USD/tonne),2018,Annual value,USD,822.9
55,Belgium,Cucumbers and gherkins,Producer Price (USD/tonne),2008,Annual value,USD,388.0
56,Belgium,Cucumbers and gherkins,Producer Price (USD/tonne),2009,Annual value,USD,379.4
57,Belgium,Cucumbers and gherkins,Producer Price (USD/tonne),2010,Annual value,USD,433.0
58,Belgium,Cucumbers and gherkins,Producer Price (USD/tonne),2011,Annual value,USD,276.6
59,Belgium,Cucumbers and gherkins,Producer Price (USD/tonne),2012,Annual value,USD,364.4
60,Belgium,Cucumbers and gherkins,Producer Price (USD/tonne),2013,Annual value,USD,424.3
61,Belgium,Cucumbers and gherkins,Producer Price (USD/tonne),2014,Annual value,USD,304.8
62,Belgium,Cucumbers and gherkins,Producer Price (USD/tonne),2015,Annual value,USD,362.5
63,Belgium,Cucumbers and gherkins,Producer Price (USD/tonne),2016,Annual value,USD,354.1
64,Belgium,Cucumbers and gherkins,Producer Price (USD/tonne),2017,Annual value,USD,269.4
65,Belgium,Cucumbers and gherkins,Producer Price (USD/tonne),2018,Annual value,USD,416.1
66,Belgium,"Meat, chicken",Producer Price (USD/tonne),2008,Annual value,USD,1809.3
67,Belgium,"Meat, chicken",Producer Price (USD/tonne),2009,Annual value,USD,1588.7
68,Belgium,"Meat, chicken",Producer Price (USD/tonne),2010,Annual value,USD,1586.0
69,Belgium,"Meat, chicken",Producer Price (USD/tonne),2011,Annual value,USD,1800.0
70,Belgium,"Meat, chicken",Producer Price (USD/tonne),2012,Annual value,USD,1652.3
71,Belgium,"Meat, chicken",Producer Price (USD/tonne),2013,Annual value,USD,1750.2
72,Belgium,"Meat, chicken",Producer Price (USD/tonne),2014,Annual value,USD,1692.5
73,Belgium,"Meat, chicken",Producer Price (USD/tonne),2015,Annual value,USD,1383.9
74,Belgium,"Meat, chicken",Producer Price (USD/tonne),2016,Annual value,USD,1324.5
75,Belgium,"Meat, chicken",Producer Price (USD/tonne),2017,Annual value,USD,1346.3
76,Belgium,"Meat, chicken",Producer Price (USD/tonne),2018,Annual value,USD,1430.0
77,Bulgaria,Apples,Producer Price (USD/tonne),2008,Annual value,USD,795.0
78,Bulgaria,Apples,Producer Price (USD/tonne),2009,Annual value,USD,502.6
79,Bulgaria,Apples,Producer Price (USD/tonne),2010,Annual value,USD,549.6
80,Bulgaria,Apples,Producer Price (USD/tonne),2011,Annual value,USD,425.6
81,Bulgaria,Apples,Producer Price (USD/tonne),2012,Annual value,USD,340.3
82,Bulgaria,Apples,Producer Price (USD/tonne),2013,Annual value,USD,354.2
83,Bulgaria,Apples,Producer Price (USD/tonne),2014,Annual value,USD,300.5
84,Bulgaria,Apples,Producer Price (USD/tonne),2015,Annual value,USD,265.2
85,Bulgaria,Apples,Producer Price (USD/tonne),2016,Annual value,USD,250.9
86,Bulgaria,Apples,Producer Price (USD/tonne),2017,Annual value,USD,280.5
87,Bulgaria,Apples,Producer Price (USD/tonne),2018,Annual value,USD,332.3
88,Bulgaria,Cucumbers and gherkins,Producer Price (USD/tonne),2008,Annual value,USD,821.9
89,Bulgaria,Cucumbers and gherkins,Producer Price (USD/tonne),2009,Annual value,USD,799.0
90,Bulgaria,Cucumbers and gherkins,Producer Price (USD/tonne),2010,Annual value,USD,784.5
91,Bulgaria,Cucumbers and gherkins,Producer Price (USD/tonne),2011,Annual value,USD,637.9
92,Bulgaria,Cucumbers and gherkins,Producer Price (USD/tonne),2012,Annual value,USD,560.4
93,Bulgaria,Cucumbers and gherkins,Producer Price (USD/tonne),2013,Annual value,USD,1039.0
94,Bulgaria,Cucumbers and gherkins,Producer Price (USD/tonne),2014,Annual value,USD,759.5
95,Bulgaria,Cucumbers and gherkins,Producer Price (USD/tonne),2015,Annual value,USD,689.5
96,Bulgaria,Cucumbers and gherkins,Producer Price (USD/tonne),2016,Annual value,USD,574.5
97,Bulgaria,Cucumbers and gherkins,Producer Price (USD/tonne),2017,Annual value,USD,533.1
98,Bulgaria,Cucumbers and gherkins,Producer Price (USD/tonne),2018,Annual value,USD,765.5
99,Bulgaria,"Meat, chicken",Producer Price (USD/tonne),2008,Annual value,USD,2128.3
100,Bulgaria,"Meat, chicken",Producer Price (USD/tonne),2009,Annual value,USD,1837.4
101,Bulgaria,"Meat, chicken",Producer Price (USD/tonne),2010,Annual value,USD,1700.6
102,Bulgaria,"Meat, chicken",Producer Price (USD/tonne),2011,Annual value,USD,1858.1
103,Bulgaria,"Meat, chicken",Producer Price (USD/tonne),2012,Annual value,USD,1798.6
104,Bulgaria,"Meat, chicken",Producer Price (USD/tonne),2013,Annual value,USD,2152.7
105,Bulgaria,"Meat, chicken",Producer Price (USD/tonne),2014,Annual value,USD,1891.8
106,Bulgaria,"Meat, chicken",Producer Price (USD/tonne),2015,Annual value,USD,1588.2
107,Bulgaria,"Meat, chicken",Producer Price (USD/tonne),2016,Annual value,USD,1484.7
108,Bulgaria,"Meat, chicken",Producer Price (USD/tonne),2017,Annual value,USD,929.8
109,Bulgaria,Soybeans,Producer Price (USD/tonne),2008,Annual value,USD,524.3
110,Bulgaria,Soybeans,Producer Price (USD/tonne),2009,Annual value,USD,583.6
111,Bulgaria,Soybeans,Producer Price (USD/tonne),2010,Annual value,USD,486.0
112,Bulgaria,Soybeans,Producer Price (USD/tonne),2011,Annual value,USD,437.8
113,Bulgaria,Soybeans,Producer Price (USD/tonne),2012,Annual value,USD,646.5
114,Bulgaria,Soybeans,Producer Price (USD/tonne),2013,Annual value,USD,867.3
115,Bulgaria,Soybeans,Producer Price (USD/tonne),2014,Annual value,USD,818.8
116,Bulgaria,Soybeans,Producer Price (USD/tonne),2015,Annual value,USD,536.9
117,Bulgaria,Soybeans,Producer Price (USD/tonne),2016,Annual value,USD,406.1
118,Bulgaria,Soybeans,Producer Price (USD/tonne),2017,Annual value,USD,364.9
119,Bulgaria,Soybeans,Producer Price (USD/tonne),2018,Annual value,USD,392.7
120,Croatia,Apples,Producer Price (USD/tonne),2008,Annual value,USD,472.1
121,Croatia,Apples,Producer Price (USD/tonne),2009,Annual value,USD,343.9
122,Croatia,Apples,Producer Price (USD/tonne),2010,Annual value,USD,323.8
123,Croatia,Apples,Producer Price (USD/tonne),2011,Annual value,USD,348.1
124,Croatia,Apples,Producer Price (USD/tonne),2012,Annual value,USD,411.9
125,Croatia,Apples,Producer Price (USD/tonne),2013,Annual value,USD,270.9
126,Croatia,Apples,Producer Price (USD/tonne),2014,Annual value,USD,240.9
127,Croatia,Apples,Producer Price (USD/tonne),2015,Annual value,USD,243.4
128,Croatia,Apples,Producer Price (USD/tonne),2016,Annual value,USD,329.3
129,Croatia,Apples,Producer Price (USD/tonne),2017,Annual value,USD,364.5
130,Croatia,Apples,Producer Price (USD/tonne),2018,Annual value,USD,264.7
131,Croatia,Cucumbers and gherkins,Producer Price (USD/tonne),2008,Annual value,USD,684.9
132,Croatia,Cucumbers and gherkins,Producer Price (USD/tonne),2009,Annual value,USD,616.0
133,Croatia,Cucumbers and gherkins,Producer Price (USD/tonne),2010,Annual value,USD,706.6
134,Croatia,Cucumbers and gherkins,Producer Price (USD/tonne),2011,Annual value,USD,593.8
135,Croatia,Cucumbers and gherkins,Producer Price (USD/tonne),2012,Annual value,USD,654.7
136,Croatia,Cucumbers and gherkins,Producer Price (USD/tonne),2013,Annual value,USD,685.4
137,Croatia,Cucumbers and gherkins,Producer Price (USD/tonne),2014,Annual value,USD,632.6
138,Croatia,Cucumbers and gherkins,Producer Price (USD/tonne),2015,Annual value,USD,613.0
139,Croatia,Cucumbers and gherkins,Producer Price (USD/tonne),2016,Annual value,USD,639.1
140,Croatia,Cucumbers and gherkins,Producer Price (USD/tonne),2017,Annual value,USD,642.4
141,Croatia,Cucumbers and gherkins,Producer Price (USD/tonne),2018,Annual value,USD,565.6
142,Croatia,"Meat, chicken",Producer Price (USD/tonne),2008,Annual value,USD,2067.4
143,Croatia,"Meat, chicken",Producer Price (USD/tonne),2009,Annual value,USD,1869.5
144,Croatia,"Meat, chicken",Producer Price (USD/tonne),2010,Annual value,USD,1779.5
145,Croatia,"Meat, chicken",Producer Price (USD/tonne),2011,Annual value,USD,1909.2
146,Croatia,"Meat, chicken",Producer Price (USD/tonne),2012,Annual value,USD,1806.8
147,Croatia,"Meat, chicken",Producer Price (USD/tonne),2013,Annual value,USD,1864.2
148,Croatia,"Meat, chicken",Producer Price (USD/tonne),2014,Annual value,USD,1762.4
149,Croatia,"Meat, chicken",Producer Price (USD/tonne),2015,Annual value,USD,1454.3
150,Croatia,Soybeans,Producer Price (USD/tonne),2008,Annual value,USD,520.2
151,Croatia,Soybeans,Producer Price (USD/tonne),2009,Annual value,USD,384.2
152,Croatia,Soybeans,Producer Price (USD/tonne),2010,Annual value,USD,417.1
153,Croatia,Soybeans,Producer Price (USD/tonne),2011,Annual value,USD,455.7
154,Croatia,Soybeans,Producer Price (USD/tonne),2012,Annual value,USD,604.2
155,Croatia,Soybeans,Producer Price (USD/tonne),2013,Annual value,USD,529.8
156,Croatia,Soybeans,Producer Price (USD/tonne),2014,Annual value,USD,407.4
157,Croatia,Soybeans,Producer Price (USD/tonne),2015,Annual value,USD,350.8
158,Croatia,Soybeans,Producer Price (USD/tonne),2016,Annual value,USD,341.9
159,Croatia,Soybeans,Producer Price (USD/tonne),2017,Annual value,USD,403.9
160,Croatia,Soybeans,Producer Price (USD/tonne),2018,Annual value,USD,358.4
161,Cyprus,Apples,Producer Price (USD/tonne),2008,Annual value,USD,1009.3
162,Cyprus,Apples,Producer Price (USD/tonne),2009,Annual value,USD,1040.5
163,Cyprus,Apples,Producer Price (USD/tonne),2010,Annual value,USD,913.9
164,Cyprus,Apples,Producer Price (USD/tonne),2011,Annual value,USD,717.3
165,Cyprus,Apples,Producer Price (USD/tonne),2012,Annual value,USD,674.6
166,Cyprus,Apples,Producer Price (USD/tonne),2013,Annual value,USD,906.8
167,Cyprus,Apples,Producer Price (USD/tonne),2014,Annual value,USD,951.3
168,Cyprus,Apples,Producer Price (USD/tonne),2015,Annual value,USD,779.7
169,Cyprus,Apples,Producer Price (USD/tonne),2016,Annual value,USD,766.6
170,Cyprus,Apples,Producer Price (USD/tonne),2017,Annual value,USD,901.5
171,Cyprus,Apples,Producer Price (USD/tonne),2018,Annual value,USD,1070.6
172,Cyprus,Cucumbers and gherkins,Producer Price (USD/tonne),2008,Annual value,USD,1142.6
173,Cyprus,Cucumbers and gherkins,Producer Price (USD/tonne),2009,Annual value,USD,1139.1
174,Cyprus,Cucumbers and gherkins,Producer Price (USD/tonne),2010,Annual value,USD,1165.5
175,Cyprus,Cucumbers and gherkins,Producer Price (USD/tonne),2011,Annual value,USD,1082.9
176,Cyprus,Cucumbers and gherkins,Producer Price (USD/tonne),2012,Annual value,USD,1061.3
177,Cyprus,Cucumbers and gherkins,Producer Price (USD/tonne),2013,Annual value,USD,1052.9
178,Cyprus,Cucumbers and gherkins,Producer Price (USD/tonne),2014,Annual value,USD,894.2
179,Cyprus,Cucumbers and gherkins,Producer Price (USD/tonne),2015,Annual value,USD,685.4
180,Cyprus,Cucumbers and gherkins,Producer Price (USD/tonne),2016,Annual value,USD,677.0
181,Cyprus,Cucumbers and gherkins,Producer Price (USD/tonne),2017,Annual value,USD,901.5
182,Cyprus,Cucumbers and gherkins,Producer Price (USD/tonne),2018,Annual value,USD,885.3
183,Cyprus,"Meat, chicken",Producer Price (USD/tonne),2008,Annual value,USD,3672.3
184,Cyprus,"Meat, chicken",Producer Price (USD/tonne),2009,Annual value,USD,3456.3
185,Cyprus,"Meat, chicken",Producer Price (USD/tonne),2010,Annual value,USD,3458.1
186,Cyprus,"Meat, chicken",Producer Price (USD/tonne),2011,Annual value,USD,3500.4
187,Cyprus,"Meat, chicken",Producer Price (USD/tonne),2012,Annual value,USD,3246.8
188,Cyprus,"Meat, chicken",Producer Price (USD/tonne),2013,Annual value,USD,3456.1
189,Cyprus,"Meat, chicken",Producer Price (USD/tonne),2014,Annual value,USD,3427.0
190,Cyprus,"Meat, chicken",Producer Price (USD/tonne),2015,Annual value,USD,2834.8
191,Cyprus,"Meat, chicken",Producer Price (USD/tonne),2016,Annual value,USD,2811.8
192,Cyprus,"Meat, chicken",Producer Price (USD/tonne),2017,Annual value,USD,2862.3
193,Cyprus,"Meat, chicken",Producer Price (USD/tonne),2018,Annual value,USD,2971.0
194,Czechia,Apples,Producer Price (USD/tonne),2008,Annual value,USD,234.6
195,Czechia,Apples,Producer Price (USD/tonne),2009,Annual value,USD,156.5
196,Czechia,Apples,Producer Price (USD/tonne),2010,Annual value,USD,220.2
197,Czechia,Apples,Producer Price (USD/tonne),2011,Annual value,USD,271.6
198,Czechia,Apples,Producer Price (USD/tonne),2012,Annual value,USD,247.3
199,Czechia,Apples,Producer Price (USD/tonne),2013,Annual value,USD,367.8
200,Czechia,Apples,Producer Price (USD/tonne),2014,Annual value,USD,350.7
201,Czechia,Apples,Producer Price (USD/tonne),2015,Annual value,USD,270.3
202,Czechia,Apples,Producer Price (USD/tonne),2016,Annual value,USD,267.9
203,Czechia,Apples,Producer Price (USD/tonne),2017,Annual value,USD,399.8
204,Czechia,Apples,Producer Price (USD/tonne),2018,Annual value,USD,351.8
205,Czechia,Cucumbers and gherkins,Producer Price (USD/tonne),2008,Annual value,USD,1121.4
206,Czechia,Cucumbers and gherkins,Producer Price (USD/tonne),2009,Annual value,USD,930.8
207,Czechia,Cucumbers and gherkins,Producer Price (USD/tonne),2010,Annual value,USD,981.6
208,Czechia,Cucumbers and gherkins,Producer Price (USD/tonne),2011,Annual value,USD,1061.5
209,Czechia,Cucumbers and gherkins,Producer Price (USD/tonne),2012,Annual value,USD,920.6
210,Czechia,Cucumbers and gherkins,Producer Price (USD/tonne),2013,Annual value,USD,785.1
211,Czechia,Cucumbers and gherkins,Producer Price (USD/tonne),2014,Annual value,USD,740.2
212,Czechia,Cucumbers and gherkins,Producer Price (USD/tonne),2015,Annual value,USD,802.7
213,Czechia,Cucumbers and gherkins,Producer Price (USD/tonne),2016,Annual value,USD,817.1
214,Czechia,Cucumbers and gherkins,Producer Price (USD/tonne),2017,Annual value,USD,794.9
215,Czechia,Cucumbers and gherkins,Producer Price (USD/tonne),2018,Annual value,USD,1050.9
216,Czechia,"Meat, chicken",Producer Price (USD/tonne),2008,Annual value,USD,1782.2
217,Czechia,"Meat, chicken",Producer Price (USD/tonne),2009,Annual value,USD,1445.0
218,Czechia,"Meat, chicken",Producer Price (USD/tonne),2010,Annual value,USD,1422.5
219,Czechia,"Meat, chicken",Producer Price (USD/tonne),2011,Annual value,USD,1666.0
220,Czechia,"Meat, chicken",Producer Price (USD/tonne),2012,Annual value,USD,1572.1
221,Czechia,"Meat, chicken",Producer Price (USD/tonne),2013,Annual value,USD,1685.7
222,Czechia,"Meat, chicken",Producer Price (USD/tonne),2014,Annual value,USD,1532.6
223,Czechia,"Meat, chicken",Producer Price (USD/tonne),2015,Annual value,USD,1286.4
224,Denmark,Apples,Producer Price (USD/tonne),2008,Annual value,USD,613.0
225,Denmark,Apples,Producer Price (USD/tonne),2009,Annual value,USD,519.7
226,Denmark,Apples,Producer Price (USD/tonne),2010,Annual value,USD,523.6
227,Denmark,Apples,Producer Price (USD/tonne),2011,Annual value,USD,635.7
228,Denmark,Apples,Producer Price (USD/tonne),2012,Annual value,USD,656.4
229,Denmark,Apples,Producer Price (USD/tonne),2013,Annual value,USD,626.7
230,Denmark,Apples,Producer Price (USD/tonne),2014,Annual value,USD,780.4
231,Denmark,Apples,Producer Price (USD/tonne),2015,Annual value,USD,511.7
232,Denmark,Apples,Producer Price (USD/tonne),2016,Annual value,USD,464.8
233,Denmark,Apples,Producer Price (USD/tonne),2017,Annual value,USD,491.5
234,Denmark,Apples,Producer Price (USD/tonne),2018,Annual value,USD,549.5
235,Denmark,Cucumbers and gherkins,Producer Price (USD/tonne),2008,Annual value,USD,1461.9
236,Denmark,Cucumbers and gherkins,Producer Price (USD/tonne),2009,Annual value,USD,1601.2
237,Denmark,Cucumbers and gherkins,Producer Price (USD/tonne),2010,Annual value,USD,1505.7
238,Denmark,Cucumbers and gherkins,Producer Price (USD/tonne),2011,Annual value,USD,1625.9
239,Denmark,Cucumbers and gherkins,Producer Price (USD/tonne),2012,Annual value,USD,1512.0
240,Denmark,Cucumbers and gherkins,Producer Price (USD/tonne),2013,Annual value,USD,1564.5
241,Denmark,Cucumbers and gherkins,Producer Price (USD/tonne),2014,Annual value,USD,1327.4
242,Denmark,Cucumbers and gherkins,Producer Price (USD/tonne),2015,Annual value,USD,1382.0
243,Denmark,Cucumbers and gherkins,Producer Price (USD/tonne),2016,Annual value,USD,1558.1
244,Denmark,Cucumbers and gherkins,Producer Price (USD/tonne),2017,Annual value,USD,1582.0
245,Denmark,Cucumbers and gherkins,Producer Price (USD/tonne),2018,Annual value,USD,1734.1
246,Denmark,"Meat, chicken",Producer Price (USD/tonne),2008,Annual value,USD,1544.1
247,Denmark,"Meat, chicken",Producer Price (USD/tonne),2009,Annual value,USD,1328.7
248,Denmark,"Meat, chicken",Producer Price (USD/tonne),2010,Annual value,USD,1246.4
249,Denmark,"Meat, chicken",Producer Price (USD/tonne),2011,Annual value,USD,1531.8
250,Denmark,"Meat, chicken",Producer Price (USD/tonne),2012,Annual value,USD,1467.8
251,Denmark,"Meat, chicken",Producer Price (USD/tonne),2013,Annual value,USD,1662.7
252,Denmark,"Meat, chicken",Producer Price (USD/tonne),2014,Annual value,USD,1663.8
253,Denmark,"Meat, chicken",Producer Price (USD/tonne),2015,Annual value,USD,1188.2
254,Denmark,"Meat, chicken",Producer Price (USD/tonne),2016,Annual value,USD,1192.9
255,Denmark,"Meat, chicken",Producer Price (USD/tonne),2017,Annual value,USD,1181.8
256,Denmark,"Meat, chicken",Producer Price (USD/tonne),2018,Annual value,USD,1297.3
257,Estonia,Apples,Producer Price (USD/tonne),2008,Annual value,USD,469.0
258,Estonia,Apples,Producer Price (USD/tonne),2009,Annual value,USD,425.6
259,Estonia,Apples,Producer Price (USD/tonne),2010,Annual value,USD,502.0
260,Estonia,Apples,Producer Price (USD/tonne),2011,Annual value,USD,422.9
261,Estonia,Apples,Producer Price (USD/tonne),2012,Annual value,USD,368.3
262,Estonia,Apples,Producer Price (USD/tonne),2013,Annual value,USD,376.9
263,Estonia,Apples,Producer Price (USD/tonne),2014,Annual value,USD,447.3
264,Estonia,Apples,Producer Price (USD/tonne),2015,Annual value,USD,348.5
265,Estonia,Apples,Producer Price (USD/tonne),2016,Annual value,USD,346.1
266,Estonia,Apples,Producer Price (USD/tonne),2017,Annual value,USD,350.2
267,Estonia,Apples,Producer Price (USD/tonne),2018,Annual value,USD,394.1
268,Estonia,Cucumbers and gherkins,Producer Price (USD/tonne),2008,Annual value,USD,1398.1
269,Estonia,Cucumbers and gherkins,Producer Price (USD/tonne),2009,Annual value,USD,912.1
270,Estonia,Cucumbers and gherkins,Producer Price (USD/tonne),2010,Annual value,USD,1100.9
271,Estonia,Cucumbers and gherkins,Producer Price (USD/tonne),2011,Annual value,USD,1272.1
272,Estonia,Cucumbers and gherkins,Producer Price (USD/tonne),2012,Annual value,USD,933.6
273,Estonia,Cucumbers and gherkins,Producer Price (USD/tonne),2013,Annual value,USD,1052.9
274,Estonia,Cucumbers and gherkins,Producer Price (USD/tonne),2014,Annual value,USD,875.5
275,Estonia,Cucumbers and gherkins,Producer Price (USD/tonne),2015,Annual value,USD,850.6
276,Estonia,"Meat, chicken",Producer Price (USD/tonne),2008,Annual value,USD,2468.5
277,Estonia,"Meat, chicken",Producer Price (USD/tonne),2009,Annual value,USD,1960.0
278,Estonia,"Meat, chicken",Producer Price (USD/tonne),2010,Annual value,USD,1667.8
279,Estonia,"Meat, chicken",Producer Price (USD/tonne),2011,Annual value,USD,1846.7
280,Estonia,"Meat, chicken",Producer Price (USD/tonne),2012,Annual value,USD,1749.7
281,Estonia,"Meat, chicken",Producer Price (USD/tonne),2013,Annual value,USD,2010.8
282,Estonia,"Meat, chicken",Producer Price (USD/tonne),2014,Annual value,USD,1952.2
283,Estonia,"Meat, chicken",Producer Price (USD/tonne),2015,Annual value,USD,1771.4
284,Estonia,"Meat, chicken",Producer Price (USD/tonne),2016,Annual value,USD,1784.1
285,Estonia,"Meat, chicken",Producer Price (USD/tonne),2017,Annual value,USD,1638.5
286,Estonia,"Meat, chicken",Producer Price (USD/tonne),2018,Annual value,USD,1553.1
287,Finland,Apples,Producer Price (USD/tonne),2008,Annual value,USD,1876.4
288,Finland,Apples,Producer Price (USD/tonne),2009,Annual value,USD,1667.0
289,Finland,Apples,Producer Price (USD/tonne),2010,Annual value,USD,1954.9
290,Finland,Apples,Producer Price (USD/tonne),2011,Annual value,USD,2204.8
291,Finland,Apples,Producer Price (USD/tonne),2012,Annual value,USD,2018.5
292,Finland,Apples,Producer Price (USD/tonne),2013,Annual value,USD,2209.4
293,Finland,Apples,Producer Price (USD/tonne),2014,Annual value,USD,2125.4
294,Finland,Apples,Producer Price (USD/tonne),2015,Annual value,USD,1815.5
295,Finland,Apples,Producer Price (USD/tonne),2016,Annual value,USD,1622.7
296,Finland,Apples,Producer Price (USD/tonne),2017,Annual value,USD,1848.1
297,Finland,Apples,Producer Price (USD/tonne),2018,Annual value,USD,1744.6
298,Finland,Cucumbers and gherkins,Producer Price (USD/tonne),2008,Annual value,USD,1768.0
299,Finland,Cucumbers and gherkins,Producer Price (USD/tonne),2009,Annual value,USD,1686.5
300,Finland,Cucumbers and gherkins,Producer Price (USD/tonne),2010,Annual value,USD,1679.4
301,Finland,Cucumbers and gherkins,Producer Price (USD/tonne),2011,Annual value,USD,1753.0
302,Finland,Cucumbers and gherkins,Producer Price (USD/tonne),2012,Annual value,USD,1803.9
303,Finland,Cucumbers and gherkins,Producer Price (USD/tonne),2013,Annual value,USD,1977.0
304,Finland,Cucumbers and gherkins,Producer Price (USD/tonne),2014,Annual value,USD,1832.2
305,Finland,Cucumbers and gherkins,Producer Price (USD/tonne),2015,Annual value,USD,1470.6
306,Finland,Cucumbers and gherkins,Producer Price (USD/tonne),2016,Annual value,USD,1609.5
307,Finland,Cucumbers and gherkins,Producer Price (USD/tonne),2017,Annual value,USD,1519.0
308,Finland,Cucumbers and gherkins,Producer Price (USD/tonne),2018,Annual value,USD,1945.3
309,Finland,"Meat, chicken",Producer Price (USD/tonne),2008,Annual value,USD,1904.3
310,Finland,"Meat, chicken",Producer Price (USD/tonne),2009,Annual value,USD,1722.6
311,Finland,"Meat, chicken",Producer Price (USD/tonne),2010,Annual value,USD,1589.3
312,Finland,"Meat, chicken",Producer Price (USD/tonne),2011,Annual value,USD,1821.1
313,Finland,"Meat, chicken",Producer Price (USD/tonne),2012,Annual value,USD,1786.0
314,Finland,"Meat, chicken",Producer Price (USD/tonne),2013,Annual value,USD,2007.5
315,Finland,"Meat, chicken",Producer Price (USD/tonne),2014,Annual value,USD,1930.4
316,Finland,"Meat, chicken",Producer Price (USD/tonne),2015,Annual value,USD,1503.9
317,Finland,"Meat, chicken",Producer Price (USD/tonne),2016,Annual value,USD,1452.4
318,Finland,"Meat, chicken",Producer Price (USD/tonne),2017,Annual value,USD,1457.1
